No,Kecamatan,BU,LST,id_kecamatan
1,bandung_kidul,-0.15070446,33.62965886,32.73.21
2,cinambo,-0.172488278,34.81719914,32.73.29
3,astanaanyar,-0.037543945,36.5202602,32.73.10
4,antapani,-0.088012179,36.82238193,32.73.20
5,cibeunying_kidul,-0.15468637,36.32850582,32.73.14
6,sukajadi,-0.102676649,36.28803213,32.73.07
7,cicadap,-0.291777679,35.72466914,32.73.08
8,kiaracondong,-0.102407203,32.33733597,32.73.16
9,gedebage,-0.229452213,36.04313886,32.73.27
10,arcamanik,-0.162586892,36.86952974,32.73.24
11,lengkong,-0.082037846,36.73751844,32.73.13
12,sumur_bandung,-0.079104999,36.79044001,32.73.19
13,ujungberung,-0.193891797,36.85636714,32.73.26
14,bojongloa_kaler,-0.081656268,35.98132462,32.73.04
15,babakan_ciparay,-0.069793337,35.70538075,32.73.03
16,sukasari,-0.156322923,36.77575213,32.73.01
17,cibeunying_kaler,-0.074535593,36.71013456,32.73.18
18,bandung_wetan,-0.111141408,35.15717735,32.73.09
19,buahbatu,-0.110361253,36.3736496,32.73.22
20,batununggal,-0.087247159,36.74401215,32.73.12
21,bojongloa_kaler,-0.024615311,35.94926041,32.73.17
22,panyileukan,-0.172878929,36.25024206,32.73.28
23,mandalajati,-0.200178165,35.62114954,32.73.30
24,cicendo,-0.127629123,35.8640787,32.73.06
25,andir,-0.061007298,32.70876841,32.73.05
26,coblong,-0.147163997,33.53667369,32.73.02
27,regol,-0.073935021,34.11287388,32.73.11
28,cibiru,-0.237274475,34.11397904,32.73.25
29,bandung_kulon,-0.071716745,34.42398494,32.73.15
30,rancasari,-0.144587553,35.02444521,32.73.23
