WADMKC,_mean
Bandung Kidul,-0.156570239745644
Cinambo,-0.175063572880498
Astana Anyar,-0.030553726879482
Antapani,-0.088489699949560
Cibeunying Kaler,-0.151169619420744
Sukajadi,-0.096384318942263
Cidadap,-0.290373494659870
Kiaracondong,-0.103216361244504
Gedebage,-0.246751428876889
Arcamanik,-0.169253823212633
Lengkong,-0.078735278491900
Sumur Bandung,-0.085102293554056
Ujungberung,-0.201172961415283
Bojongloa Kidul,-0.089716633853691
Babakan Ciparay,-0.066231768367523
Sukasari,-0.161460592892936
Cibeunying Kidul,-0.069902634999852
Bandung Wetan,-0.113578449362482
Buahbatu,-0.112308745559830
Batununggal,-0.083081296109334
Bojongloa Kaler,-0.023842620752379
Panyileukan,-0.181569169887564
Mandalajati,-0.200346971681218
Cicendo,-0.125670488533036
Andir,-0.054384922769239
Coblong,-0.141115588473653
Regol,-0.078645557153563
Cibiru,-0.247137076654864
Bandung Kulon,-0.072991458343975
Rancasari,-0.146142786418234
