id_wilayah,nama_wilayah,id_kecamatan,nama_kecamatan,_mean
7D00F8E4,Bojonagara,32.73.01,Sukasari,32.6532141725624
932659F2,Cibeunying,32.73.02,Coblong,33.2567357856552
CC7B08F0,Tegallega,32.73.03,Babakan Ciparay,35.257475464191
CC7B08F0,Tegallega,32.73.04,Bojongloa Kaler,35.6576907978008
7D00F8E4,Bojonagara,32.73.05,Andir,35.1301836831929
7D00F8E4,Bojonagara,32.73.06,Cicendo,35.1116700037391
7D00F8E4,Bojonagara,32.73.07,Sukajadi,34.6347088646505
932659F2,Cibeunying,32.73.08,Cidadap,30.7011398513688
932659F2,Cibeunying,32.73.09,Bandung Wetan,34.5794839449499
CC7B08F0,Tegallega,32.73.10,Astanaanyar,35.5208139649963
6CE3653D,Karees,32.73.11,Regol,35.2848370691321
6CE3653D,Karees,32.73.12,Batununggal,35.2443867846925
6CE3653D,Karees,32.73.13,Lengkong,35.3220538890575
932659F2,Cibeunying,32.73.14,Cibeunying Kidul,34.3737153264627
CC7B08F0,Tegallega,32.73.15,Bandung Kulon,34.425490128115
6CE3653D,Karees,32.73.16,Kiaracondong,35.0467164811702
CC7B08F0,Tegallega,32.73.17,Bojongloa Kidul,35.2726806424083
932659F2,Cibeunying,32.73.18,Cibeunying Kaler,33.5761156651875
932659F2,Cibeunying,32.73.19,Sumur Bandung,34.9371690976275
B3D12B15,Arcamanik,32.73.20,Antapani,34.947781106602
BB4C0B50,Kordon,32.73.21,Bandung Kidul,34.4423510963829
BB4C0B50,Kordon,32.73.22,Buahbatu,34.7061318620014
0A471A31,Gedebage,32.73.23,Rancasari,34.118899688183
B3D12B15,Arcamanik,32.73.24,Arcamanik,34.299052789785
5F142D26,Ujungberung,32.73.25,Cibiru,31.131253544679
5F142D26,Ujungberung,32.73.26,Ujungberung,32.093482274957
0A471A31,Gedebage,32.73.27,Gedebage,32.6721159148733
5F142D26,Ujungberung,32.73.28,Panyileukan,32.8634276186883
B3D12B15,Arcamanik,32.73.30,Mandalajati,32.7110071238745
5F142D26,Ujungberung,32.73.29,Cinambo,33.7164068628362
