no,kecamatan,id_kecamatan,lst
1,bandung_kidul,32.73.21,33.6215354
2,cinambo,32.73.29,34.46080408
3,astanaanyar,32.73.10,36.3134608
4,antapani,32.73.20,36.75008501
5,cibeunying_kidul,32.73.14,36.16373544
6,sukajadi,32.73.07,36.10350215
7,cicadap,32.73.08,35.53521616
8,kiaracondong,32.73.16,32.11548951
9,gedebage,32.73.27,35.69991491
10,arcamanik,32.73.24,36.73119407
11,lengkong,32.73.13,36.51621899
12,sumur_bandung,32.73.19,36.47748454
13,ujungberung,32.73.26,36.5661622
14,bojongloa_kaler,32.73.04,35.67154994
15,babakan_ciparay,32.73.03,35.54783488
16,sukasari,32.73.01,36.35269462
17,cibeunying_kaler,32.73.18,36.46396111
18,bandung_wetan,32.73.09,34.82737036
19,buahbatu,32.73.22,36.08642242
20,batununggal,32.73.12,36.28285925
21,bojongloa_kidul,32.73.17,35.61904719
22,panyileukan,32.73.28,35.9187258
23,mandalajati,32.73.30,35.28460009
24,cicendo,32.73.06,35.58108878
25,andir,32.73.05,32.46827412
26,coblong,32.73.02,33.36542294
27,regol,32.73.11,33.8911631
28,cibiru,32.73.25,33.97789485
29,bandung_kulon,32.73.15,34.23058981
30,rancasari,32.73.23,34.84545164
